File.name,QRATE,Date,Longitude,Latitude
ARC_0137.JPG,2,2022-11-01,-57.66257,66.95219833
ARC_0140.JPG,2,2022-11-01,-57.662155,66.95219167
ARC_0146.JPG,2,2022-11-01,-57.662155,66.95219167
ARC_0155.JPG,2,2022-11-01,-57.662155,66.95219167
ARC_0169.JPG,2,2022-11-01,-57.662155,66.95219167
ARC_0186.JPG,2,2022-11-01,-57.65562333,66.95007667
ARC_0194.JPG,1,2022-11-01,-57.65562333,66.95007667
ARC_0195.JPG,1,2022-11-01,-57.65562333,66.95007667
ARC_0223-2.JPG,2,2022-11-01,-57.65562333,66.95007667
ARC_0232-2.JPG,2,2022-11-01,-57.64170167,66.946145
ARC_0234-2.JPG,2,2022-11-01,-57.64170167,66.946145
ARC_0239-2.JPG,1,2022-11-01,-57.64170167,66.946145
ARC_0264.JPG,2,2022-11-01,-57.64170167,66.946145
ARC_0267.JPG,2,2022-11-01,-57.63814333,66.94459167
ARC_0272.JPG,3,2022-11-01,-57.63814333,66.94459167
ARC_0312.JPG,2,2022-11-01,-57.63814333,66.94459167
ARC_0322.JPG,2,2022-11-01,-57.634315,66.94357167
ARC_0332.JPG,3,2022-11-01,-57.634315,66.94357167
ARC_0352.JPG,2,2022-11-01,-57.634315,66.94357167
ARC_0363.JPG,2,2022-11-01,-57.634315,66.94357167
ARC_0379.JPG,1,2022-11-01,-57.634315,66.94357167
ARC_0400.JPG,3,2022-11-01,-57.62928,66.94240667
ARC_0405.JPG,3,2022-11-01,-57.62928,66.94240667
ARC_0407.JPG,2,2022-11-01,-57.62928,66.94240667
ARC_0410.JPG,2,2022-11-01,-57.62928,66.94240667
ARC_0415.JPG,1,2022-11-01,-57.62583333,66.94161
ARC_0426.JPG,2,2022-11-01,-57.62583333,66.94161
ARC_0434.JPG,3,2022-11-01,-57.62583333,66.94161
ARC_0453.JPG,1,2022-11-01,-57.62078333,66.94024167
ARC_0473.JPG,2,2022-11-01,-57.62078333,66.94024167
ARC_0487.JPG,2,2022-11-01,-57.62078333,66.94024167
ARC_0497.JPG,??,2022-11-01,-57.62078333,66.94024167
ARC_0499.JPG,3,2022-11-01,-57.58974833,66.9335
ARC_0506.JPG,1,2022-11-01,-57.58526167,66.93246833
ARC_0524.JPG,2,2022-11-01,-57.58526167,66.93246833
ARC_0547.JPG,2,2022-11-01,-57.58526167,66.93246833
ARC_0585.JPG,2,2022-11-01,-57.58526167,66.93246833
