Latitude,Longitude,Year,Date,Time,DateT,UTC1,TIME,sunrise,sunset,daylight
66.99259333333333,-57.736828333333335,2022,1/11/2022,6:24:44,2022-11-01T06:24:44Z,2022-11-01 06:24,06:24:44,09:00:00,2023-04-03T23:00:00Z,0
66.992685,-57.736713333333334,2022,1/11/2022,6:25:0,2022-11-01T06:25:00Z,2022-11-01 06:25,06:25:00,09:00:00,2023-04-03T23:00:00Z,0
66.99319833333334,-57.7362,2022,1/11/2022,6:26:1,2022-11-01T06:26:01Z,2022-11-01 06:26,06:26:01,09:00:00,2023-04-03T23:00:00Z,0
66.99395833333334,-57.73578666666667,2022,1/11/2022,6:27:1,2022-11-01T06:27:01Z,2022-11-01 06:27,06:27:01,09:00:00,2023-04-03T23:00:00Z,0
66.99484333333334,-57.73549166666667,2022,1/11/2022,6:28:0,2022-11-01T06:28:00Z,2022-11-01 06:28,06:28:00,09:00:00,2023-04-03T23:00:00Z,0
66.99574,-57.735126666666666,2022,1/11/2022,6:29:0,2022-11-01T06:29:00Z,2022-11-01 06:29,06:29:00,09:00:00,2023-04-03T23:00:00Z,0
66.99665666666667,-57.73471833333333,2022,1/11/2022,6:30:0,2022-11-01T06:30:00Z,2022-11-01 06:30,06:30:00,09:00:00,2023-04-03T23:00:00Z,0
66.99754666666666,-57.734271666666665,2022,1/11/2022,6:31:0,2022-11-01T06:31:00Z,2022-11-01 06:31,06:31:00,09:00:00,2023-04-03T23:00:00Z,0
66.998423333333335,-57.73379833333333,2022,1/11/2022,6:32:0,2022-11-01T06:32:00Z,2022-11-01 06:32,06:32:00,09:00:00,2023-04-03T23:00:00Z,0
66.999275,-57.73331666666667,2022,1/11/2022,6:33:0,2022-11-01T06:33:00Z,2022-11-01 06:33,06:33:00,09:00:00,2023-04-03T23:00:00Z,0
67.00012666666667,-57.732843333333335,2022,1/11/2022,6:34:0,2022-11-01T06:34:00Z,2022-11-01 06:34,06:34:00,09:00:00,2023-04-03T23:00:00Z,0
67.00109333333333,-57.732435,2022,1/11/2022,6:35:1,2022-11-01T06:35:01Z,2022-11-01 06:35,06:35:01,09:00:00,2023-04-03T23:00:00Z,0
67.00196166666667,-57.73200833333333,2022,1/11/2022,6:36:1,2022-11-01T06:36:01Z,2022-11-01 06:36,06:36:01,09:00:00,2023-04-03T23:00:00Z,0
67.00277,-57.73167333333333,2022,1/11/2022,6:37:0,2022-11-01T06:37:00Z,2022-11-01 06:37,06:37:00,09:00:00,2023-04-03T23:00:00Z,0
67.00353666666666,-57.731255,2022,1/11/2022,6:38:1,2022-11-01T06:38:01Z,2022-11-01 06:38,06:38:01,09:00:00,2023-04-03T23:00:00Z,0
67.00441,-57.730815,2022,1/11/2022,6:39:0,2022-11-01T06:39:00Z,2022-11-01 06:39,06:39:00,09:00:00,2023-04-03T23:00:00Z,0
